Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
Logo CERT,full_name,ชื่อศูนย์ภาษาอังกฤษ,short_name,สถานะ,unit_name,area_name,location,saraban_email,sarabun_phone,contacts_247
,ศูนย์ประสานงานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์กระทรวงกลาโหม ,Ministry of Defence Computer Security Incident Response Team ,MODCSIRT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านความมั่นคงของรัฐ,"ศาลาว่าการกลาโหม ถนนสนามไชย เขตพระนคร กรุงเทพ 10200

สถานที่จัดตั้ง CERT
เลขที่ 127 อาคารสำนักงานปลัดกระทรวงกลาโหม (ศรีสมาน) ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 1110",,"02 - 224 - 0717, 02- 224 - 0703(fax)","เบอร์โทรศัพท์:
E-mail :"
,"ศูนย์ประสานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์ สำนักงานตำรวจแห่งชาติ
",Constable ON Patrol Computer Security Incident Response Team ,COPCSIRT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านความมั่นคงของรัฐ,"ถนนพระรามที่ 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330

สถานที่จัดตั้ง CERT
กลุ่มงานรักษาความมั่นคงปลอดภัยทางไซเบอร์ กองบังคับการตรวจสอบและวิเคราะห์อาชญากรรมทางเทคโนโลยี กองบัญชาการตำรวจสืบสวนสอบสวนอาชญากรรมทางเทคโนโลยี อาคารกองบังคับการตำรวจสืบสวนสอบสวนอาชญากรรมทางเทคโนโลยี 2 ชั้น 6 เลขที่ 904 อาคารเฉลิมพระเกียรติ ตำบล บ้านใหม่ อำเภอ ปากเกร็ด จังหวัด นนทบุรี 11120",saraban_ccib@police.go.th,0875552275,"เบอร์โทรศัพท์:
E-mail :"
,"ศูนย์ประสานการรักษาความมั่นคงปลอดภัยไซเบอร์ด้านความมั่นคงของรัฐฝ่ายพลเรือน 
",Thailand Civilian Sector CERT,TCS CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านความมั่นคงของรัฐ,เลขที่ 321 ถนนราชดําเนินนอก แขวงดุสิต เขตดุสิต กรุงเทพฯ 10300,saraban@nia.go.th,0227971803 ต่อ 6191-6196,"เบอร์โทรศัพท์:
E-mail :"
,"ศูนย์ประสานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์กระทรวงการคลัง 
",Ministry of Finance Computer Security Incident Response Team ,MOF-CSIRT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านบริการภาครัฐที่สำคัญ,"สถานที่จัดตั้ง CERT
อาคาร 150 ปี กระทรวงการคลัง ถนนพระรามที่ 6
แขวงพญาไท เขตพญาไท กรุงเทพฯ 10400",saban@mof.go.th,"0 2126 5800 ต่อ 28811 และ 28906, 0 2273 9408(fax)",
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์ กรมศุลกากร,National Single Window CERT,NSW-CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านบริการภาครัฐที่สำคัญ,"เลขที่ 1 ถ.สุนทรโกษา คลองเตย กทม. 1010

สถานที่จัดตั้ง CERT
กองบริหารจัดการและพัฒนาระบบเชื่อมโยงข้อมูลการนำเข้า ส่งออก
และโลจิสติกส์ อาคาร 120 ปี ชั้น 15",saraban@customs.go.th,02 667 7000,
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์ สำนักบริหารการทะเบียน กรมการปกครอง,The Bureau of Registration Administration CERT,BORA CERT,จัดตั้งเสร็จสมบูรณ์,"หน่วยงานกำกับดูแล, หน่วยงานโครงสร้างพื้นฐานสำคัญทางสารสนเทศ",ด้านบริการภาครัฐที่สำคัญ,"เลขที่ 666 อาคารธนาลงกรณ์ทาวเวอร์ ขั้น 1 ถนนบรมราชชนนี
แขวงบางนำหรู เขตบางพลัด กรุงเทพฯ 10700

สถานที่จัดตั้ง CERT
59 หมู่ 11 ต.บึงทองหลาง อ.ลำลูกกา จ.ปทุมธานี 12150",waster@dopa.go.th,"0 2221 8150, 02-222-5852(fax)",
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์ภาครัฐบาลดิจิทัล,Digital Government CERT,DG-CERT,จัดตั้งเสร็จสมบูรณ์,"หน่วยงานกำกับดูแล, หน่วยงานโครงสร้างพื้นฐานสำคัญทางสารสนเทศ",ด้านบริการภาครัฐที่สำคัญ,"เลขที่ 120 ศูนย์ราชการเฉลิมพระเกียรติ 80 พรรษา 5 ธันวาคม 2550
(อาคารซี) ชั้น ๘ ถนนแจ้งวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ 10210",,,
,ศูนย์ประสานงานด้านความมั่นคงปลอดภัยเทคโนโลยีสารสนเทศภาคการธนาคาร,Thailand Banking Sector Computer Emergency Response Team,TB-CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านการเงินการธนาคาร,ที่ตั้งศูนย์ ฯ : เลขที่ ๕/๑๓ ชั้น ๔ หมู่ ๓ ถนนแจ้งวัฒนะ ตำบลคลองเกลือ อำเภอปากเกร็ด จังหวัดนนทบุรี ๑๑๑๒๐,saraban@bot.or.th,,
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์ภาคตลาดทุน,Thai Capital Market Computer Emergency Response Team,TCM-CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านการเงินการธนาคาร,"เลขที่ 333/3 ถนนวิภาวดีรังสิต แชวงจอมพล เขตจตุจักร กรุงเทพมหานคร
10900

สถานที่จัดตั้ง CERT
เลขที่ 93 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ 10400",saraban@sec.or.th,0-2033-9999,
,ศูนย์ประสานงานรักษาความมั่นคงปลอดภัยทางคอมพิวเตอร์ด้านโทรคมนาคม (สำนักงาน กสทช.),Thailand Telecommunications Sector CERT,TTC-CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านเทคโนโลยีสารสนเทศและโทรคมนาคม,87 ถนนพหลโยธิน ซอย 8 แขวงสามเสนใน เขตพญาไท กรุงเทพฯ 10400 โทร : 0 2670 8888,saraban@nbtc.go.th,"026708888, 022782530(fax)",
,ศูนย์ประสานการรักษาความมั่นคงปลอดภัยระบบคอมพิวเตอร์ภาคการบิน,Thailand Aviation - Computer Emergency Response Team,TA-CERT,จัดตั้งเสร็จสมบูรณ์,หน่วยงานกำกับดูแล,ด้านการขนส่งและโลจิสติกส์,"เลขที่ ๒๒๒ ซอยวิภาวดีรังสิต ๒๕ ถนนวิภาวดีรังสิต แขวงจตุจักร
เขตจตุจักร กรุงเทพมหานคร ๑๐๙๐๐",saraban@caat.or.th,02-568-8800,
